"","Response_01","Response_02","Response_03","Response_04","Response_05","Response_06","Response_07","Response_08","Response_09","Response_10","Response_11","Response_12","Response_13","Response_14","Response_15","Response_16","Response_17","Response_18","Response_19","Response_20","Response_21","Response_22","Response_23","Response_24","Response_25","Response_26","Response_27","Response_28","Response_29","Response_30","Response_31","Response_32","Response_33","Response_34","Response_35","Response_36","Response_37","Response_38","Response_39","Response_40","Response_41","Response_42","Response_43","Response_44","Response_45","Response_46","Response_47","Response_48","Response_49","Response_50","Response_51","Response_52","Response_53","Response_54","Response_55","Response_56","Response_57","Response_58","Response_59","Response_60","Response_61","Response_62","Response_63","Response_64","Response_65","Response_66","Response_67","Response_68","Response_69","Response_70","Response_71"
"218","bear","polar bear","snake","fish","horse","cow","dolphin","zebra","lion","tiger","shark","koala","kangaroo","whale","seal","orca","dog","cat","pig","mouse","rat","lizard","bird","eagle","hawk","vulture","deer","turkey","buffalo","mule","elk","wolf","coyote","squirrel","raccoon","owl","osprey","trout","salmon","moose","antelope","water buffalo","hyena","warthog","muskrat","otter","brown bear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","tiger","giraffe","cheetah","hippopotamus","emu","kangaroo","cat","dog","fish","salmon","shark","whale","eel","bee","ant","rabbit","deer","elk","moose","horse","alligator","crocodile","fly","cow","pig","chicken","rhinoceros","penguin","puffin","polar bear","seal","lion","yak","octopus","squid","sting ray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","dog","cat","bird","turtle","hawk","eagle","lion","cheetah","pig","parrot","lizard","dolphin","bunny","raccoon","monkey","zebra","giraffe","rhinoceros","hippopotamus","elephant","tiger","leopard","penguin","sea lion","sea otter","polar bear","bear","ostrich","shark","hyena","warthog","falcon","vulture","panda","kangaroo","koala","meerkat","groundhog","snake","alligator","crocodile","gorilla","puma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","zebra","kangaroo","penguin","dog","cat","elephant","panther","tiger","lion","fish","bird","cardinal","blue jay","beaver","muskrat","frog","mouse","rabbit","squirrel","seagull","otter","leopard","deer","peccary","moose","caribou","bear","hippopotamus","rhinoceros","pig","cow","horse","mule","gerbil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","dog","cat","horse","donkey","pig","rhinoceros","giraffe","elephant","lion","tiger","monkey","gorilla","penguin","emu","flamingo","duck","goose","swan","whale","seal","fish","swordfish","moose","lynx","buffalo","parrot","great gray owl","eagle","african gray parrot","mongoose","otter","beaver","betta fish","pony","alpaca","llama","porcupine","snake","lizard","gecko","coyote","wolf","mouse","prairie dog","turtle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","buffalo","deer","hippopotamus","camel","rhinoceros","zebra","ocelot","tiger","giraffe","lion","quail","hawk","mouse","rat","peacock","cow","pig","rooster","monkey","orangutan","gorilla","elephant","dog","cat","sheep","duck","goose","flamingo","iguana","snake","turtle","tortoise","gecko","squirrel","chipmunk","sloth","raccoon","opossum","parrot","parakeet","condor","vulture","salamander","bull","whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","dog","cat","wolf","frog","lion","tiger","german shepherd","pit bull","chihuahua","poodle","bear","rhinoceros","hippopotamus","zebra","rat","mouse","hamster","cougar","pig","sheep","lamb","llama","buffalo","cow","penguin","kangaroo","koala","panda","black bear","sloth","monkey","chimpanzee","baboon","gorilla","great dane","giraffe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","cat","dog","mouse","elephant","rhinoceros","coyote","lion","gazelle","tiger","buffalo","water buffalo","deer","white-tailed deer","arctic fox","bear","polar bear","grizzly bear","black bear","brown bear","poodle","terrier","yorkshire terrier","labradoodle","labrador retriever","chocolate lab","black lab","yellow lab","golden retriever","german shepherd","pointer","chihuahua","field mouse","rat","tabby","leopard","cheetah","bobcat","mountain lion","lynx","penguin","emperor penguin","rockhopper penguin","blue-footed booby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","monkey","dog","cat","bird","sheep","horse","goat","ostrich","hippopotamus","alligator","lizard","hamster","mouse","snake","gecko","salamander","rabbit","fish","tiger","lion","bear","wolf","chicken","turtle","spider","chinchilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","bird","dog","cat","turtle","blue whale","shark","ostrich","camel","mouse","rat","toad","orangutan","snail","seal","fish","goldfish","angelfish","jellyfish","shrimp","crab","german shepherd","great dane","bulldog","persian cat","sphinx","sphynx cat","guinea pig","rabbit","hare","coyote","mountain lion","seagull","crane","flamingo","duck","goose","swan","giraffe","elephant","rhinoceros","bear","black bear","grizzly bear","salamander","kangaroo","lemur","koala","herring","tuna","salmon","border collie","calico cat","snake","rattlesnake","gopher","kingsnake","python","garter snake","hyena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","cat","dog","lion","monkey","gorilla","horse","bunny","rabbit","jackrabbit","mouse","rat","hamster","gerbil","rodent","elephant","zebra","giraffe","otter","seal","bear","polar bear","brown bear","black bear","meerkat","spider monkey","ape","chinchilla","german shepherd","beagle","australian shepherd","golden retriever","husky","chihuahua","pony","mule","donkey","dachshund","sphynx cat","pug","pit bull","panther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","cat","dog","doll face persian cat","golden retriever","pig","cow","bird","dolphin","orca","bunny","german shepherd","poodle","turtle","elephant","chocolate lab","yellow lab","mouse","rat","deer","bear","seagull","otter","giraffe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","bird","cow","dog","kiwi bird","kangaroo","lion","cat","horse","pig","bunny","rat","mouse","seal","shark","jellyfish","fish","starfish","tiger","bear","polar bear","brown bear","black bear","lizard","guinea pig","turtle","flamingo","alligator","monkey","gecko","narwhal","penguin","frog","whale","eagle","koala","cheetah","toad","giraffe","elephant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","elephant","turtle","dog","cat","mouse","bunny","hamster","goat","insect","pig","cow","horse","lion","monkey","snake","lizard","owl","blue jay","bear","fox","hound","pit bull","bull","polar bear","penguin","seal","seagull","fish","pufferfish","hog","sting ray","sea turtle","dolphin","whale","shark","crab","lobster","clam","tortoise","roadrunner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","dog","cat","bird","reptile","snake","dachshund","poodle","turtle","crocodile","wolf","eagle","mouse","rat","rattlesnake","python","great dane","sphynx cat","kitten","goat","cow","cheetah","emu","kangaroo","panda","polar bear","starfish","fish","shark","firefly","skunk","puppy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","owl","deer","dog","cat","bird","fish","crab","mouse","spider","pig","horse","cow","leopard","koala","panda","red panda","husky","samoyed","collie","eagle","hawk","hummingbird","cockatiel","cockatoo","shrimp","whale","shark","dolphin","elephant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","dog","cat","mouse","rat","deer","tiger","lion","cheetah","elephant","kangaroo","jackal","wolf","fox","seal","leopard","puma","arctic wolf","malamute","gazelle","zebra","raccoon","porcupine","snake","boar","wild boar","black bear","hedgehog","reindeer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","cat","dog","fish","dolphin","cheetah","kangaroo","shark","bear","wolf","elk","deer","wolverine","panda","koala","beaver","coyote","fox","turtle","zebra","giraffe","gorilla","monkey","hyena","lion","tiger","panther","sugar glider","dingo","tortoise","seal","orca","whale","lynx","lizard","python","snake","cow","horse","chicken","mule","leopard","elephant","polar bear","grizzly bear","penguin","flamingo","moose","gopher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","sloth","squirrel","cat","dog","golden retriever","border collie","shetland","elephant","zebra","giraffe","aardvark","anteater","snake","boa constrictor","rattlesnake","viper","rat","mouse","hamster","gerbil","chinchilla","weasel","orangutan","monkey","baboon","gorilla","sugar glider","lemur","ring-tailed lemur","rhinoceros","hippopotamus","pug","french bulldog","lab","black lab","betta fish","frog","lizard","shark","octopus","leopard","tiger","cheetah","panther","eagle","hawk","bald eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","cat","dog","fish","lion","tiger","bear","snake","rhinoceros","jellyfish","panda","black bear","penguin","polar bear","cheetah","elephant","groundhog","giraffe","zebra","cow","chicken","hen","pig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","cow","giraffe","horse","lion","bear","pig","shark","deer","sheep","goat","chicken","zebra","penguin","snake","turtle","donkey","duck","goose","rhinoceros","flamingo","jaguar","cheetah","polar bear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","penguin","giraffe","iguana","panda","polar bear","flamingo","sloth","dog","cat","goldfish","koala","kangaroo","monkey","gorilla","parrot","guinea pig","hamster","duck","swan","platypus","anteater","shark","dolphin","whale","starfish","eel","jellyfish","chameleon","lemur","wolf","coyote","turtle","groundhog","goat","cow","sheep","pig","chicken","llama","camel","opossum","raccoon","skunk","hyena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","snake","dog","horse","cat","frog","tiger","lion","elephant","meerkat","rhinoceros","hyena","jaguar","monkey","ape","human","bear","sloth","ostrich","emu","penguin","sparrow","hummingbird","bat","spider","hawk","eagle","peregrine","falcon","kangaroo","boa constrictor","cobra","black mamba","black widow","goat","sheep","lamb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","dog","cat","horse","goose","duck","kangaroo","bear","bird","hawk","eagle","falcon","turtle","dove","tiger","lion","elephant","hippopotamus","alligator","crocodile","deer","elk","moose","wolf","coyote","bobcat","jaguar","owl","lizard","snake","frog","toad","monkey","gorilla","chimpanzee","ape","fish","hamster","kiwi bird","cockatoo","mouse","rat","koala","wallaby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","cat","dog","snake","cow","hamster","wolf","hyena","lion","tiger","bear","german shepherd","shih tzu","zebra","giraffe","deer","elk","reindeer","cheetah","jaguar","panther","fox","owl","hummingbird","rabbit","goat","chicken","rooster","pigeon","polar bear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","cat","dog","mouse","horse","pig","cow","seahorse","whale","dolphin","shark","fish","frog","crab","lobster","shrimp","snake","lizard","bear","deer","bull","buffalo","gazelle","zebra","turtle","hog","peccary","owl","bird","hawk","eagle","iguana","tiger","lion","penguin","seal","seagull","polar bear","hamster","guinea pig","gerbil","rat","goldfish","betta fish","salmon","eel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","dog","cat","bird","raven","cheetah","leopard","bunny","rabbit","lion","cub","eagle","hippopotamus","rhinoceros","ant","red ant","platypus","beaver","otter","goldfish","sea snail","moth","fly","grasshopper","rat","mouse","spider","black widow spider","german shepherd","boxer","chihuahua","gorilla","ape","chinchilla","spider monkey","orangutan","orca","blue whale","whale","shark","great white shark","tiger shark","whale shark","jellyfish","king crab","lobster","kangaroo","tarantula","dung beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","cat","dog","lemur","bird","raccoon","fox","cow","snake","turtle","fish","horse","lizard","hamster","hedgehog","squirrel","baboon","monkey","gorilla","lion","tiger","kangaroo","antelope","goat","wolf","worm","insect","spider","anteater","aardvark","wallaby","chicken","penguin","emu","ostrich","jackal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","tiger","lion","dog","cat","fish","bear","cheetah","giraffe","elephant","deer","rabbit","bunny","sloth","snake","gorilla","emu","ostrich","rhinoceros","orangutan","monkey","bird","pet","frog","beetle","insect","grasshopper","fly","mosquito","goat","cow","horse","pig","lamb","sheep","mole","jaguar","peacock","antelope","buffalo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","mammal","tiger","bear","black bear","polar bear","lion","cheetah","hyena","fox","coyote","hog","pig","anteater","donkey","deer","moose","bird","goose","pigeon","penguin","rhinoceros","hippopotamus","giraffe","zebra","parrot","monkey","spider monkey","orangutan","gorilla","panther","dog","cat","wolf","terrier","bulldog","husky","poodle","camel","yorkshire terrier","grayhound","sphynx cat","guinea pig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","dog","cat","mouse","horse","pig","cow","goat","pony","bull","chicken","rooster","turkey","parrot","parakeet","snake","fish","duck","swan","panther","leopard","lion","tiger","bear","jaguar","coyote","wolf","saber-toothed tiger","monkey","gorilla","polar bear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","cat","dog","mouse","rat","horse","cheetah","lion","gazelle","giraffe","zebra","bear","black bear","grizzly bear","polar bear","whale","humpback whale","blue whale","sperm whale","mountain lion","tiger","deer","reindeer","elk","caribou","moose","fox","arctic fox","grasshopper","spider","bird","pigeon","hawk","eagle","falcon","snake","rattlesnake","cobra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","dog","cat","cow","pig","goat","gerbil","lamb","shark","dolphin","fish","whale","guinea pig","sugar glider","monkey","snake","spider","cricket","elephant","scorpion","beetle","bird","raven","falcon","eagle","cardinal","tiger","lion","jaguar","hornet","bee","tasmanian devil","lynx","cougar","bobcat","wildcat","peacock","flamingo","quoll","frog","platypus","fly","giraffe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","penguin","dog","golden retriever","beagle","kangaroo","marsupial","koala","bear","black bear","brown bear","polar bear","goat","sheep","ram","bighorn sheep","frog","toad","greater short-horned lizard","gila monster","amphibian","reptile","newt","mammal","cow","horse","corgi","quail","dove","raptor","snake","cobra","dolphin","great white shark","shark","turtle","river otter","sea otter","salmon","seal","orca","emu","cat","lion","tiger","hyena","moose","robin","condor","labrador retriever","diamondback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","monkey","dog","cat","sheep","mouse","horse","rat","crocodile","alligator","koala","lion","tiger","penguin","whale","orca","beluga","humpback whale","turtle","tortoise","owl","hawk","bird","peacock","pigeon","donkey","walrus","manatee","naked mole-rat","chipmunk","squirrel","zebra","hippopotamus","giraffe","chicken","cow","pig","bull","guinea pig","hamster","ferret","snake","boa constrictor","rattlesnake","turkey","lamb","camel","goat","rhinoceros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","rhinoceros","giraffe","dog","cat","rat","mouse","hamster","lion","tiger","bear","wolf","eagle","jaguar","cheetah","emu","penguin","lobster","deer","elk","rabbit","squirrel","blue jay","robin","pigeon","poodle","fox","orangutan","gorilla","hyena","lynx","zebra","kangaroo","koala","water buffalo","gazelle","antelope","blackbird","swan","goose","bull","cow","horse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","dog","cat","rat","bird","monkey","cow","raccoon","zebra","lion","fish","donkey","horse","giraffe","dolphin","orca","whale","squid","lizard","elephant","mouse","snake","frog","bunny","fox","penguin","wolf","warthog","gazelle","toad","kangaroo","meerkat","hog","buffalo","mammoth","eagle","pigeon","goat","turtle","tortoise","hare","octopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","manatee","walrus","blue whale","orca","lion","hammerhead shark","mako shark","great white shark","whale shark","bull shark","tiger shark","lemon shark","ibex","puma","anaconda","python","dingo","kangaroo","wombat","gopher","weasel","sloth","slug","starfish","turkey","cat","dog","marlin","cheetah","rhinoceros","elephant","jaguar","leopard","hyena","chicken","hippopotamus","narwhal","chimpanzee","monkey","dodo","deer","honey bee","bumblebee","boa constrictor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","cat","dog","parrot","parakeet","goldfish","betta fish","husky","doberman","chihuahua","monkey","sloth","water dragon","german shepherd","collie","basset hound","yorkshire terrier","kangaroo","koala","shiba inu","alaskan klee kai","tarantula","gecko","turtle","tortoise","tiger shark","pufferfish","goat","llama","alpaca","bearded dragon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","dog","cat","horse","turtle","rhinoceros","giraffe","iguana","fish","bird","duck","squirrel","bat","dove","pigeon","ferret","groundhog","anteater","ant","seal","dolphin","whale","donkey","goat","mule","lion","tiger","bear","jaguar","hyena","deer","doe","fawn","eagle","wombat","frog","bee","wasp","monkey","orangutan","ape","crow","elephant","mountain lion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","cat","dog","fish","goat","cow","horse","snake","penguin","emu","peacock","alligator","lion","tiger","cheetah","crow","cockatiel","mule","donkey","alpaca","llama","anteater","slug","caterpillar","butterfly","fly","bee","honey bee","wasp","mouse","rat","hawk","lizard","pig","chicken","hippopotamus","kangaroo","zebra","firefly","ant","centipede","millipede","spider","seagull","tuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","dog","cat","lizard","deer","lion","zebra","dolphin","human","monkey","reindeer","bear","coyote","bird","woodpecker","blue jay","hawk","eagle","orangutan","squirrel","anteater","whale","salmon","shark","gazelle","pig","wolf","armadillo","skunk","porcupine","penguin","beluga","leopard","jaguar","fox","iguana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","dog","cat","hamster","giraffe","elephant","rabbit","horse","pig","sheep","chicken","wolf","gopher","rat","snake","lizard","hog","pony","lion","tiger","bear","cheetah","gorilla","flamingo","alligator","shark","fish","octopus","seal","whale","dolphin","crab","snail","goat","hippopotamus","zebra","gazelle","deer","turkey","llama","rooster","bull","prairie dog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","dog","cat","frog","pigeon","horse","mouse","fish","shark","bird","lizard","penguin","elephant","leopard","camel","whale","sea otter","platypus","rat","giraffe","rhinoceros","cheetah","snake","otter","orca","tiger","gazelle","zebra","hyena","monkey","gorilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","cat","dogfish","jaguar","elephant","turtle","ferret","parakeet","hamster","fly","mosquito","koi","butterfly","rat","gecko","gerbil","kangaroo","flamingo","penguin","whale","shark","barracuda","lion","tiger","gorilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","horse","dog","cat","squirrel","gorilla","donkey","mouse","frog","snake","bear","grizzly bear","fox","bird","eagle","fish","piranha","whale","shark","elephant","monkey","giraffe","hound","golden retriever","dachshund","german shepherd","cow","calf","iguana","turtle","tortoise","lizard","gila monster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","elephant","giraffe","cat","dog","penguin","mouse","rat","guinea pig","pig","sheep","horse","donkey","monkey","gorilla","zebra","bird","caterpillar","pelican","jellyfish","shark","whale","alligator","crocodile","cheetah","puma","jaguar","antelope","gazelle","camel","polar bear","bear","panda","kangaroo","seal","walrus","octopus","piranha","snake","ant","beetle","squirrel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","penguin","polar bear","tiger","lion","gorilla","monkey","dog","cat","iguana","lizard","marsupial","kangaroo","koala","scorpion","mountain lion","snake","horse","cow","chicken","fish","shark","whale","bird","falcon","eagle","crow","hummingbird","emu","bluebird","canary","robin","dove","cuscus","human","crocodile","alligator","piranha","hound","chihuahua","pomeranian","golden retriever","black lab","poodle","bulldog","swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","cat","dog","hamster","horse","cow","pig","goat","sheep","tiger","lion","monkey","gorilla","penguin","otter","seal","polar bear","black bear","brown bear","lizard","snake","fish","starfish","shark","dolphin","octopus","mink","clownfish","carp","lobster","eagle","rooster","chicken","hen","blue jay","robin","dinosaur","flamingo","kangaroo","rhinoceros","seahorse","jellyfish","pufferfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","cat","tiger","donkey","elephant","mouse","giraffe","rhinoceros","hippopotamus","zebra","rat","dog","bear","crocodile","vulture","goat","cow","buffalo","hen","snake","pig","porcupine","lizard","wolf","kangaroo","rabbit","leopard","cheetah","jaguar","monkey","mongoose","owl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","dog","cat","fish","bird","dolphin","parakeet","ostrich","horse","goat","sheep","cow","pig","chicken","rooster","chick","hound","lion","tiger","bear","koala","panda","goldfish","bass","great white shark","hammerhead shark","trout","ant","anteater","jellyfish","wild dog","jackal","coyote","wolf","beaver","sloth","frog","toad","komodo dragon","elephant","rhinoceros","lemur","monkey","chimpanzee","orangutan","maine coon","dachshund","eagle","falcon","orca","penguin","snake","salamander","bulldog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","elephant","dog","mongoose","crocodile","rabbit","rat","mouse","cheetah","pig","ostrich","albatross","pigeon","monkey","chimpanzee","gorilla","puffin","goose","duck","swan","flamingo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","monkey","dog","cat","elephant","spider","fish","giraffe","insect","ladybug","horse","ferret","hamster","gerbil","rat","mouse","snake","frog","rabbit","wolf","coyote","shark","dolphin","cardinal","walrus","whale","rhinoceros","quail","bird","crow","penguin","seal","lion","tiger","panda","bear","yak","kangaroo","koala","antelope","liger","gorilla","camel","vulture","jaguar","cheetah","mountain lion","mule","donkey","stork","crane","crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
